date,pageviews,printings,clicks,rpm,rpmp,activeviews,earns
1/1/2018,13,13,0,"0,00","0,00","91,67%","0,00"
1/2/2018,13,13,0,"0,00","0,00","100,00%","0,00"
1/3/2018,31,31,0,"0,00","0,00","100,00%","0,00"
1/4/2018,14,14,0,"0,00","0,00","100,00%","0,00"
1/5/2018,38,38,1,"0,66","0,66","100,00%","0,03"
1/6/2018,19,19,1,"3,21","3,21","100,00%","0,06"
1/7/2018,47,47,0,"0,02","0,02","100,00%","0,00"
1/8/2018,34,34,1,"2,35","2,35","100,00%","0,08"
1/9/2018,24,24,2,"4,50","4,50","100,00%","0,11"
1/10/2018,15,15,1,"6,08","6,08","100,00%","0,09"
1/11/2018,34,34,0,"0,12","0,12","100,00%","0,00"
1/12/2018,24,24,0,"0,00","0,00","100,00%","0,00"
1/13/2018,20,19,0,"0,00","0,00","100,00%","0,00"
1/14/2018,24,24,1,"0,01","0,01","100,00%","0,00"
1/15/2018,31,31,1,"0,55","0,55","96,67%","0,02"
1/16/2018,24,23,0,"0,12","0,12","100,00%","0,00"
1/17/2018,12,12,0,"0,00","0,00","100,00%","0,00"
1/18/2018,18,18,0,"0,00","0,00","100,00%","0,00"
1/19/2018,9,9,0,"0,00","0,00","100,00%","0,00"
1/20/2018,5,5,0,"0,70","0,70","100,00%","0,00"
1/21/2018,23,23,0,"0,01","0,01","95,24%","0,00"
1/22/2018,43,43,1,"0,65","0,65","100,00%","0,03"
1/23/2018,37,37,0,"0,00","0,00","100,00%","0,00"
1/24/2018,12,12,0,"0,18","0,18","100,00%","0,00"
1/25/2018,36,35,2,"3,80","3,91","96,97%","0,14"
1/26/2018,26,25,0,"0,10","0,11","100,00%","0,00"
1/27/2018,24,24,0,"0,04","0,04","95,65%","0,00"
1/28/2018,11,11,2,"9,43","9,43","100,00%","0,10"
1/29/2018,25,25,2,"1,50","1,50","100,00%","0,04"
1/30/2018,32,32,1,"0,78","0,78","100,00%","0,02"
1/31/2018,19,19,1,"9,93","9,93","100,00%","0,19"
2/1/2018,16,16,1,"3,34","3,34","100,00%","0,05"
2/2/2018,16,16,0,"0,28","0,28","100,00%","0,00"
2/3/2018,15,15,0,"0,00","0,00","100,00%","0,00"
2/4/2018,18,17,2,"7,72","8,17","100,00%","0,14"
2/5/2018,39,39,0,"0,01","0,01","100,00%","0,00"
